Extended NOAA/GMD preliminary data 04-05-2022 08:38:02 [GMT], SkySonde Client version 1.3.0.6
Software written by Allen Jordan and Jim Wendell, NOAA
               Header lines = 19
               Data columns = 15
              Flight number = zh-999
                 Date [GMT] = 04-05-2022
                 Time [GMT] = 08:38:02
            Instrument type = Vaisala Sonde
             Vaisala number = 
                 A/D System = V7


    THE DATA CONTAINED IN THIS FILE ARE PRELIMINARY
     AND SUBJECT TO REPROCESSING AND VERIFICATION
     FOR SOUNDING DETAILS REFER TO FILE zh-999.de1


      Time,     Press,       Alt,      Temp,      Traw,     Theta,        RH,     TFp V,    TVaisI,  Fl,   GPS lat,   GPS lon,   GPS alt,      Wind,  Wind Dir
     [min],     [hpa],      [km],   [deg C],   [deg C],       [K],       [%],   [deg C],    [degC],  [],     [deg],     [deg],      [km],     [m/s],     [deg]
   0.02554,    958.77,    0.5100,     22.55,     22.65,   299.278,     38.60,      7.76,     24.57,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.04225,    958.76,    0.5101,     22.53,     22.63,   299.259,     38.60,      7.74,     24.59,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.05790,    958.76,    0.5101,     22.51,     22.61,   299.239,     38.70,      7.76,     24.60,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.07465,    958.76,    0.5101,     22.49,     22.59,   299.218,     38.70,      7.75,     24.61,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.09137,    958.74,    0.5103,     22.53,     22.63,   299.261,     39.30,      8.01,     24.63,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.10914,    958.75,    0.5102,     22.50,     22.60,   299.229,     39.30,      7.98,     24.64,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.12482,    958.74,    0.5103,     22.51,     22.61,   299.240,     39.40,      8.03,     24.65,   1,  47.37946,   8.54884,    0.5090,     99999,     99999
   0.14153,    958.74,    0.5103,     22.56,     22.66,   299.291,     39.10,      7.96,     24.67,   1,  47.37946,   8.54884,    0.5080,     99999,     99999
   0.15852,    958.74,    0.5103,     22.55,     22.65,   299.281,     39.00,      7.91,     24.68,   1,  47.37946,   8.54884,    0.5080,     99999,     99999
   0.17449,    958.74,    0.5103,     22.58,     22.68,   299.311,     38.90,      7.90,     24.69,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.19223,    958.74,    0.5103,     22.54,     22.64,   299.271,     38.80,      7.83,     24.71,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.20902,    958.75,    0.5102,     22.47,     22.57,   299.199,     38.70,      7.73,     24.72,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.22466,    958.68,    0.5108,     22.74,     22.84,   299.478,     50.00,     11.79,     24.73,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.24132,    958.70,    0.5106,     25.11,     25.21,   301.875,     70.20,     19.30,     24.75,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.25831,    958.74,    0.5103,     24.40,     24.50,   301.153,     46.40,     12.17,     24.76,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.27402,    958.73,    0.5104,     23.99,     24.09,   300.739,     46.90,     11.96,     24.78,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.29168,    958.74,    0.5103,     23.75,     23.85,   300.495,     43.50,     10.61,     24.79,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.30844,    958.73,    0.5104,     23.54,     23.64,   300.284,     40.60,      9.39,     24.80,   1,  47.37946,   8.54883,    0.5080,     99999,     99999
   0.32521,    958.73,    0.5104,     23.40,     23.50,   300.142,     39.80,      8.97,     24.81,   1,  47.37946,   8.54883,    0.5070,     99999,     99999
   0.34088,    958.75,    0.5102,     23.28,     23.38,   300.019,     38.90,      8.53,     24.83,   1,  47.37946,   8.54883,    0.5070,     99999,     99999
